method,vector
"|java+method:///smallsql/junit/TestDataTypes/checkValues(java.sql.Statement,java.lang.Object%5B%5D,boolean)|","[10,7,3,3,2,2]"
"|java+method:///smallsql/database/StoreImpl/writeExpression(smallsql.database.Expression,smallsql.database.Column)|","[160,145,15,2,12,6]"
"|java+method:///smallsql/database/SSResultSetMetaData/getDisplaySize(int,int,int)|","[39,37,2,3,0,2]"
|java+method:///smallsql/junit/TestGroupBy/testFirst1()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/ExpressionArithmetic/getFloat()|,"[25,23,2,1,1,2]"
"|java+method:///smallsql/database/SmallSQLException/create(java.lang.String,java.lang.Object)|","[17,4,13,2,2,2]"
|java+method:///smallsql/database/CommandInsert/addValues(smallsql.database.CommandSelect)|,"[3,2,1,1,1,1]"
"|java+method:///smallsql/database/SSCallableStatement/getTimestamp(int,java.util.Calendar)|","[4,1,3,2,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getCatalogSeparator()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/TableView/createFile(smallsql.database.SSConnection,smallsql.database.Database)|","[20,10,10,2,3,2]"
|java+method:///smallsql/database/language/Language/getFromLocaleTree(java.lang.String)|,"[37,16,21,1,3,6]"
"|java+constructor:///smallsql/database/TableStorePageInsert/TableStorePageInsert(smallsql.database.SSConnection,smallsql.database.Table,int)|","[5,4,1,3,2,1]"
"|java+method:///smallsql/database/SSCallableStatement/setBoolean(java.lang.String,boolean)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/SSCallableStatement/findParameter(java.lang.String)|,"[4,1,3,1,0,1]"
"|java+method:///smallsql/database/SSCallableStatement/setDouble(java.lang.String,double)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/ExpressionFunctionTimestampDiff/getInt()|,"[36,30,6,1,8,6]"
"|java+method:///smallsql/database/StoreImpl/copyValueFrom(smallsql.database.StoreImpl,int,int)|","[4,3,1,3,1,1]"
|java+method:///smallsql/database/Columns/get(int)|,"[5,4,1,1,0,1]"
|java+method:///smallsql/junit/TestFunctions/suite()|,"[7,5,2,1,1,2]"
|java+method:///smallsql/junit/TestOrderBy/testOrderBy_char()|,"[26,20,6,1,8,2]"
|java+method:///smallsql/database/ExpressionFunctionLog/getFunction()|,"[1,1,0,1,0,1]"
"|java+method:///smallsql/database/SSCallableStatement/setFloat(java.lang.String,float)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/SortedResult/afterLast()|,"[13,9,4,1,2,4]"
"|java+method:///smallsql/database/SSCallableStatement/setShort(java.lang.String,short)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/MutableLong/doubleValue()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/BenchTest/test_Scroll_getXXX(java.sql.Connection)|,"[44,36,8,1,71,5]"
"|java+method:///smallsql/database/SSCallableStatement/getTimestamp(java.lang.String,java.util.Calendar)|","[3,2,1,2,0,1]"
|java+method:///smallsql/junit/TestAlterTable2/testAdd2Keys()|,"[10,9,1,1,4,3]"
|java+method:///smallsql/database/Column/isAutoIncrement()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSCallableStatement/setTimestamp(java.lang.String,java.sql.Timestamp)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/Distinct/first()|,"[4,3,1,1,0,1]"
"|java+method:///smallsql/database/SSDriver/connect(java.lang.String,java.util.Properties)|","[6,4,2,2,0,2]"
|java+method:///smallsql/database/Scrollable/isExpressionsFromThisRowSource(smallsql.database.Expressions)|,"[6,2,4,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionConvert/convertToString()|,"[17,14,3,1,2,3]"
|java+method:///smallsql/database/MutableNumeric/getImmutableObject()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionArithmetic/getFloatImpl()|,"[11,9,2,1,0,2]"
|java+method:///smallsql/database/SSDatabaseMetaData/getIdentifierQuoteString()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/IndexScrollStatus/getRowOffset(boolean)|,"[82,56,26,1,12,19]"
"|java+method:///smallsql/database/SQLParser/checkValidIdentifier(java.lang.String,smallsql.database.SQLToken)|","[15,11,4,2,2,4]"
"|java+method:///smallsql/database/IndexDescription/init(smallsql.database.Database,smallsql.database.TableView)|","[17,7,10,2,4,3]"
"|java+method:///smallsql/database/SSCallableStatement/setAsciiStream(java.lang.String,java.io.InputStream,int)|","[3,2,1,3,0,1]"
|java+method:///smallsql/database/ExpressionName/isDefinitelyWritable()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ViewResult/absolute(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestOrderBy/testVarcharEmpty()|,"[19,13,6,1,3,1]"
"|java+method:///smallsql/database/SSCallableStatement/setInt(java.lang.String,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/StoreImpl/isValidPage()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/Utils/float2bytes(float)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestGroupBy/testCountWherePrepare()|,"[10,8,2,1,4,2]"
"|java+method:///smallsql/junit/BasicTestCase/assertEqualsObject(java.lang.String,java.lang.Object,java.lang.Object)|","[12,8,4,3,0,4]"
|java+method:///smallsql/database/SQLParser/nextIdentiferPart(java.lang.String)|,"[16,7,9,1,1,3]"
"|java+method:///smallsql/database/ExpressionValue/set(java.lang.Object,int,int)|","[4,3,1,3,1,1]"
"|java+method:///smallsql/database/Database/getReferenceKeys(smallsql.database.SSConnection,java.lang.String,java.lang.String)|","[41,34,7,3,27,5]"
|java+method:///smallsql/database/ViewResult/init(smallsql.database.SSConnection)|,"[14,5,9,1,0,2]"
|java+method:///smallsql/database/SSResultSet/next()|,"[8,6,2,1,0,3]"
